# Australia - Nationwide locations
-27.177444,152.258035
-25.048378,113.794620
-38.623446,145.584100
-34.297742,138.475917
-38.142271,142.614283
-36.611386,145.591103
-28.396482,150.604563
-22.883846,149.557484
-30.533492,151.723320
-36.331438,142.346409
-34.813049,143.393017
-24.469209,150.619555
-37.055031,143.458218
-26.704568,152.984079
-34.604071,138.524733
-33.458632,116.034475
-22.862228,139.854326
-34.158048,139.031087
-34.299029,117.545317
-31.099911,118.193376
-37.407245,143.975792
-31.501990,131.826967
-37.282655,145.486032
-12.643401,131.310736
-36.637995,147.118879
-33.076374,116.619532
-32.013712,150.745859
-37.015930,144.596862
-31.204531,152.815192
-33.755085,115.185206
-34.695318,137.742381
-21.862214,114.141898
-27.839290,144.022791
-37.263102,144.113136
-32.267652,117.194903
-35.387611,142.951474
-32.945415,137.408625
-35.077188,150.595801
-38.309981,142.578219
-35.580551,138.597670
-31.217605,116.950396
-28.700630,153.132065
-24.995651,152.159238
-32.161067,119.723833
-31.515578,116.588561
-32.272469,116.170159
-34.051286,139.144734
-20.509389,147.836189
-19.541203,147.289299
-33.698897,135.650838
-32.061265,152.217631
-34.286685,135.718726
-25.530236,152.811018
-32.411390,116.605268
-35.283509,144.570420
-25.676520,151.251581
-32.553587,119.227371
-24.938255,152.168812
-32.100452,117.889199
-27.929227,151.841854
-35.864071,144.313822
-30.143464,117.645023
-32.248637,142.370249
-35.036114,150.588255
-28.417389,153.518975
-33.799515,137.736043
-26.805064,145.352942
-25.704390,148.427340
-26.315315,116.012199
-26.430097,147.308279
-34.502303,117.008131
-36.347552,145.479653
-32.753304,115.875402
-34.517359,145.012759
-33.710113,149.675098
-33.709598,149.830908
-30.875268,116.741130
-34.344630,146.216599
-38.087224,145.219020
-33.376437,117.579243
-32.654629,147.484745
-29.166602,150.566466
-34.841022,139.513654
-30.649191,135.409825
-31.773581,151.078587
-34.056498,151.032411
-30.144671,149.208578
-38.067639,145.493724
-37.191815,148.726604
-25.219084,131.367109
-33.810545,116.020003
-35.381190,145.639405
-36.727396,144.127731
-31.106719,144.175446
-33.480515,150.904031
-36.290123,142.825759
-32.591430,151.627520
-36.237550,141.771334
-32.507645,115.778372
-28.552788,143.834564
-32.335874,117.429703
-12.452757,130.935906
-33.958293,116.279902
